Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Mental Illness,Value
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Joint Disorders - Lower Extremity,No.Mental.Health,499024
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Joint Disorders - Unspecified or Multiple Joints,No.Mental.Health,496011
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Foot deformities,No.Mental.Health,95836
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Fracture - hip,No.Mental.Health,5030
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Fracture - Other,No.Mental.Health,50823
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Osteomyelitis/Infectious Arthritis,No.Mental.Health,11326
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Amputation,No.Mental.Health,23186
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Myasthenia Gravis/Myoneuronal Disorders,No.Mental.Health,3761
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,"Myalgia/Myositis, unspecified",No.Mental.Health,28242
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MUSCULOSKELETAL,Musculoskeletal conditions - Other,No.Mental.Health,241810
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Multiple sclerosis,No.Mental.Health,8542
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Epilepsy- convulsions,No.Mental.Health,39534
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Parkinsons disease,No.Mental.Health,28351
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Intracranial Hemorrhage,No.Mental.Health,5031
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,TBI,No.Mental.Health,19353
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Dementia,No.Mental.Health,81841
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Cognitive Disorders - Other,No.Mental.Health,58377
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Spinal cord injury,No.Mental.Health,11815
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Paralysis - Other,No.Mental.Health,11023
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Headache,No.Mental.Health,106407
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Dizziness/vertigo,No.Mental.Health,79489
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Peripheral Nerve Disorders,No.Mental.Health,139869
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Carpal Tunnel Syndrome,No.Mental.Health,42617
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,NEUROLOGIC,Nervous System Symptoms/Disorders - Other,No.Mental.Health,167924
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Major Depressive Disorder,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,"Depression, possible - Other",No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,PTSD,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Acute stress disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Anxiety disorders/ other,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Adjustment disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Bipolar disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Schizophrenia,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Psychotic disorders - Other,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Alcohol use disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Drug use disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Eating disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Dissociative disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Personality disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Conduct/impulse control disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Somatiform disorders,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,Attention Deficit Disorder/Hyperkinetic Disorder,No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,MENTAL HEALTH/SUBSTANCE USE DISORDER,"Psychiatric disorders, nonspecific",No.Mental.Health,
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Blindness/Low Vision,No.Mental.Health,69458
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Refraction disorders,No.Mental.Health,630268
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Glaucoma,No.Mental.Health,288538
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Cataract,No.Mental.Health,613295
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Eye disorders - Other,No.Mental.Health,581740
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Hearing problems,No.Mental.Health,693474
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,SENSE ORGANS,Ear disorders - Other,No.Mental.Health,172920
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DENTAL,Dental Caries,No.Mental.Health,113499
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DENTAL,Gingivitis/Periodontitis,No.Mental.Health,80675
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DENTAL,Loss of Teeth,No.Mental.Health,55535
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DENTAL,Dental Disorders - Other,No.Mental.Health,133663
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DERMATOLOGIC,Skin cancer (non-Melanoma),No.Mental.Health,109492
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DERMATOLOGIC,Skin ulcer - chronic,No.Mental.Health,42724
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DERMATOLOGIC,Skin infection,No.Mental.Health,89940
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DERMATOLOGIC,Psoriasis,No.Mental.Health,37413
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,DERMATOLOGIC,Dermatologic disorders - Other,No.Mental.Health,614640
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Sleep apnea,No.Mental.Health,240409
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Sleep disturbance - Other,No.Mental.Health,123069
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Malaise and fatigue,No.Mental.Health,48777
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Syncope,No.Mental.Health,26824
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Abdominal pain,No.Mental.Health,85563
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Chronic Pain Syndromes,No.Mental.Health,70379
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Allergies and urticaria,No.Mental.Health,45210
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Edema,No.Mental.Health,86603
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Symptoms - Other,No.Mental.Health,77069
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Tobacco Use Disorder,No.Mental.Health,356163
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Tobacco Use History,No.Mental.Health,58425
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Poisoning,No.Mental.Health,6288
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Other injuries and conditions due to external causes,No.Mental.Health,185095
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Effects of surgical procedures or medical care,No.Mental.Health,45853
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Housing insufficiency,No.Mental.Health,42170
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Psychosocial factors - Other,No.Mental.Health,98413
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,OTHER,Residual Codes,No.Mental.Health,406581
Serious Mental Illness,A. Socio-demographic Characteristics,A1. Distribution of SMI among FY13 Veteran VHA Patients,SMI (Overall),Overall,,Overall,Other.Mental.Health,68220
Serious Mental Illness,A. Socio-demographic Characteristics,"A2. Distribution of SMI among FY13 Veteran VHA Patients by Sex, FY13",SMI by Sex,Sex,,F,Other.Mental.Health,6679
Serious Mental Illness,A. Socio-demographic Characteristics,"A2. Distribution of SMI among FY13 Veteran VHA Patients by Sex, FY13",SMI by Sex,Sex,,M,Other.Mental.Health,61540
Serious Mental Illness,A. Socio-demographic Characteristics,"A3. Distribution of SMI among FY13 Veteran VHA Patients by Age, FY13",SMI by Age,Age,,18-44,Other.Mental.Health,21884
Serious Mental Illness,A. Socio-demographic Characteristics,"A3. Distribution of SMI among FY13 Veteran VHA Patients by Age, FY13",SMI by Age,Age,,45-64,Other.Mental.Health,26990
Serious Mental Illness,A. Socio-demographic Characteristics,"A3. Distribution of SMI among FY13 Veteran VHA Patients by Age, FY13",SMI by Age,Age,,65+,Other.Mental.Health,19344
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,AI/AN,Other.Mental.Health,394
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,Asian,Other.Mental.Health,671
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,Black/African American,Other.Mental.Health,11997
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,NH/OPI,Other.Mental.Health,477
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,White,Other.Mental.Health,46598
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,Hispanic,Other.Mental.Health,4862
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,Multi-race,Other.Mental.Health,516
Serious Mental Illness,A. Socio-demographic Characteristics,"A4. Distribution of SMI among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",SMI by Race/Ethnicity,Race/Ethnicity,,Unknown,Other.Mental.Health,2705
Serious Mental Illness,A. Socio-demographic Characteristics,"A5. Distribution of SMI among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",SMI by Rural/Urban Status,Geography,,Highly Rural,Other.Mental.Health,670
Serious Mental Illness,A. Socio-demographic Characteristics,"A5. Distribution of SMI among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",SMI by Rural/Urban Status,Geography,,Other Rural,Other.Mental.Health,20758
Serious Mental Illness,A. Socio-demographic Characteristics,"A5. Distribution of SMI among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",SMI by Rural/Urban Status,Geography,,Urban,Other.Mental.Health,46521
Serious Mental Illness,A. Socio-demographic Characteristics,"A6. Distribution of SMI among FY13 Veteran VHA Patients by Service-Connected Status, FY13",SMI by Service-Connected Status,Service Connection,,No SC,Other.Mental.Health,35736
Serious Mental Illness,A. Socio-demographic Characteristics,"A6. Distribution of SMI among FY13 Veteran VHA Patients by Service-Connected Status, FY13",SMI by Service-Connected Status,Service Connection,,SC 0-49,Other.Mental.Health,17926
Serious Mental Illness,A. Socio-demographic Characteristics,"A6. Distribution of SMI among FY13 Veteran VHA Patients by Service-Connected Status, FY13",SMI by Service-Connected Status,Service Connection,,SC 50-99,Other.Mental.Health,11532
Serious Mental Illness,A. Socio-demographic Characteristics,"A6. Distribution of SMI among FY13 Veteran VHA Patients by Service-Connected Status, FY13",SMI by Service-Connected Status,Service Connection,,SC 100,Other.Mental.Health,2973
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,0 encounters,Other.Mental.Health,165
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,1 encounter,Other.Mental.Health,1852
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,2 encounters,Other.Mental.Health,2988
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,Other.Mental.Health,9762
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,Other.Mental.Health,16860
Serious Mental Illness,B. VHA Outpatient Utilization,"B1. Distribution of SMI among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",SMI by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,Other.Mental.Health,36593
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,Other.Mental.Health,6178
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,Other.Mental.Health,17804
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,Other.Mental.Health,15151
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,Other.Mental.Health,20621
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,Other.Mental.Health,6679
Serious Mental Illness,B. VHA Outpatient Utilization,"B2. Distribution of SMI among FY13 Veteran VHA Patients by Primary Care Visits, FY13",SMI by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,Other.Mental.Health,1787
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,Other.Mental.Health,32593
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,Other.Mental.Health,14585
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,Other.Mental.Health,7427
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,Other.Mental.Health,8503
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,Other.Mental.Health,3591
Serious Mental Illness,B. VHA Outpatient Utilization,"B3. Distribution of SMI among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",SMI by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,Other.Mental.Health,1521
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,Other.Mental.Health,52584
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,Other.Mental.Health,8664
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,Other.Mental.Health,3393
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,Other.Mental.Health,2904
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,Other.Mental.Health,608
Serious Mental Illness,B. VHA Outpatient Utilization,"B4. Distribution of SMI among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",SMI by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,Other.Mental.Health,67
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,0 encounters,Other.Mental.Health,23529
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,1 encounter,Other.Mental.Health,13441
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,2 encounters,Other.Mental.Health,8485
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,Other.Mental.Health,12241
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,Other.Mental.Health,6851
Serious Mental Illness,B. VHA Outpatient Utilization,"B5. Distribution of SMI among FY13 Veteran VHA Patients by Telephone Visits, FY13",SMI by Telephone Visits,Encounters,Telephone Visits,12+ encounters,Other.Mental.Health,3673
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,Other.Mental.Health,55169
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,Other.Mental.Health,2152
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,Other.Mental.Health,1820
